,precision,recall,f1-score,support
A,0.9195402298850575,0.7476635514018691,0.8247422680412372,107.0
C,0.9067796610169492,0.9067796610169492,0.9067796610169492,118.0
D,0.6153846153846154,0.6,0.6075949367088608,120.0
G,0.9444444444444444,0.5964912280701754,0.7311827956989247,114.0
H,0.7163120567375887,0.9805825242718447,0.8278688524590164,103.0
M,0.9183673469387755,0.967741935483871,0.9424083769633509,93.0
N,0.6382978723404256,0.5,0.5607476635514019,120.0
O,0.5892857142857143,0.825,0.6875000000000001,120.0
accuracy,0.7564245810055866,0.7564245810055866,0.7564245810055866,0.7564245810055866
macro avg,0.7810514926291963,0.7655323625305887,0.7611030693049676,895.0
weighted avg,0.7747507939831688,0.7564245810055866,0.7533160271309404,895.0
